num_functions,cyclomatic_complexity,num_loops,num_function_calls,num_memory_allocations,num_pointer_operations,num_exp_math_operations,instruction_count,arithmetic_instr_pct,memory_instr_pct,control_instr_pct,control_path_depth,power_mw
10258,4523,3311,6114,672,9,890,164920,0.54,0.41,2.74,2,875
6491,1405,1202,4466,358,9,986,84058,1.17,0.43,1.67,2,974
6496,2586,2210,3229,14,9,92,102503,0.09,0.01,2.52,2,1005
7721,3531,2824,5618,1216,9,1972,143227,1.38,0.85,2.47,2,960
10095,5213,3646,6661,1400,9,1510,181536,0.83,0.77,2.87,2,882
8723,4556,3243,7621,1996,9,3276,153514,2.13,1.3,2.97,2,978
9231,4391,3270,7616,1818,9,2970,154923,1.92,1.17,2.83,2,1014
8136,4408,3367,6914,1160,9,2938,157466,1.87,0.74,2.8,2,1091
6519,3440,2628,5049,1312,9,1980,123293,1.61,1.06,2.79,2,935
8659,3497,2379,5909,1182,9,1378,130113,1.06,0.91,2.69,2,950
8932,4567,3552,4914,186,9,544,157825,0.34,0.12,2.89,2,824
6991,1912,1402,5095,854,9,1376,89682,1.53,0.95,2.13,2,898
12006,5350,4028,9055,1444,9,2992,213537,1.4,0.68,2.51,2,1004
12069,5440,3926,9682,1868,9,3410,209955,1.62,0.89,2.59,2,896
9348,3813,2795,8270,1690,9,3314,147472,2.25,1.15,2.59,2,986
7061,2557,2174,5641,200,9,2122,117808,1.8,0.17,2.17,2,936
12113,4936,3668,9029,1226,9,2774,190141,1.46,0.64,2.6,2,861
6840,2490,2036,4914,676,9,1468,115159,1.27,0.59,2.16,2,963
8465,3427,3155,6347,438,9,2314,145589,1.59,0.3,2.35,2,847
12593,4863,3853,8742,496,9,2222,209650,1.06,0.24,2.32,2,1087
5599,2140,1853,3996,404,9,1316,87548,1.5,0.46,2.44,2,874
7659,4973,3399,6700,1408,9,3040,161824,1.88,0.87,3.07,2,880
6781,3569,2994,4159,508,9,952,137918,0.69,0.37,2.59,2,974
8055,2760,2315,5324,374,9,1136,131839,0.86,0.28,2.09,2,963
8011,3137,2649,5313,664,9,1238,134621,0.92,0.49,2.33,2,930
9813,3975,2813,7995,1908,9,2956,158067,1.87,1.21,2.51,2,980
6422,3541,2528,4805,126,9,1736,115614,1.5,0.11,3.06,2,907
8408,3661,2797,5897,778,9,1654,140935,1.17,0.55,2.6,2,1053
10709,5428,3896,8742,1640,9,3376,193321,1.75,0.85,2.81,2,937
7240,3406,2775,5555,1092,9,2074,137585,1.51,0.79,2.48,2,876
7896,2132,1610,4829,114,9,628,95863,0.66,0.12,2.22,2,927
8571,4271,3019,5625,754,9,1504,152984,0.98,0.49,2.79,2,852
11677,4933,3362,9709,1678,9,3594,189138,1.9,0.89,2.61,2,899
9398,4157,2859,6663,802,9,1736,147807,1.17,0.54,2.81,2,971
6034,3080,2180,3975,144,9,1096,98643,1.11,0.15,3.12,2,1113
7619,2899,2376,4842,994,9,1102,135267,0.81,0.73,2.14,2,1005
10323,4379,3268,5520,292,9,320,163327,0.2,0.18,2.68,2,913
5814,3832,2583,4617,1812,9,1912,123630,1.55,1.47,3.1,2,893
9401,4044,3029,7540,1730,9,2798,159490,1.75,1.08,2.54,2,877
10478,5357,4093,7721,1518,9,2464,192133,1.28,0.79,2.79,2,911
8993,3435,2550,5801,978,9,1092,129904,0.84,0.75,2.64,2,990
10736,5791,3811,8218,1986,9,2874,197290,1.46,1.01,2.94,2,963
7978,4036,2935,4919,368,9,910,140031,0.65,0.26,2.88,2,900
10384,4136,2976,7610,1170,9,2140,165561,1.29,0.71,2.5,2,970
8340,5083,3782,6308,1312,9,2346,169424,1.38,0.77,3.0,2,1002
10973,4336,3421,7468,746,9,1862,173531,1.07,0.43,2.5,2,944
8951,3764,2794,7238,1364,9,2552,147230,1.73,0.93,2.56,2,981
7585,4512,3091,5454,1640,9,1806,147239,1.23,1.11,3.06,2,930
7216,3982,2443,5481,1466,9,1882,127349,1.48,1.15,3.13,2,874
5419,2112,1848,3098,346,9,588,92110,0.64,0.38,2.29,2,979
9978,4831,3404,7011,1558,9,1994,173176,1.15,0.9,2.79,2,836
